Data,label
Piala Dunia U20 di Indonesia Batal Messi ga ikut Timnas Argentina ke Indonesia ,negative
Walaupun negaranya kalah di pe andingan Final Piala Dunia U20 atas Uruguay,positive
Rentetan cerita pilu Italy di Level Timnas Club 2023,positive
Uruguay menjuarai Piala Dunia U20 2023 Celeste Olimpica mengangkat trofi setelah mengalahkan Italia dalam pe andingan langsung di Final,positive
Italia kalah dari Uruguay di final Piala Dunia U20 2023 Hasil ini menambah kekalahan beruntun wakil Pizzamaa di final musim ini,positive
Rentetan cerita pilu Italy di Level Timnas dan Club2023,positive
"Deretan foto berikut merupakan sorotan dari pe andingan final Piala Dunia U20 FIFA antara Uruguay melawan Italia di La Plata, Argentina, pada 11 Juni 2023  Pe andingan tersebut dimenangkan oleh Uruguay",positive
Fakta Cesare Casadei Gelandang Andalan Italia di Piala Dunia U20 ,positive
 Lahhh kok ada nama pak prabowo ? Kaget,positive
Walaupun negaranya kalah di pe andingan Final Piala Dunia U20 atas Uruguay,positive
 Juara terbanyak Piala Dunia U20,positive
"Daftar Negara Juara Piala Dunia U20 dari Tahun 1977 hingga 2023, Terbaru Uruguay",positive
Ekspresi kebahagiaan Fede Valverde saat menyaksikan adik-adik juniornya menjadi juara dunia setelah menang 1-0 ,positive
"Pesan Chelsea untuk Cesare Casadei, Permata Piala Dunia U20 2023",positive
Kepantasan Uruguay Jadi Juara Baru Piala Dunia U20 dan Sensasi Israel yang Juara Tiga,positive
TIMNAS Uruguay keluar sebagai juara Piala Dunia U20 setelah menundukkan Italia dengan skor tipis 1-0 pada pa ai final di Stadion Ciudad de La Plata Buenos Aires Argentina Senin dini hari,positive
"Hasil tersebut merupakan gelar pe ama Piala Dunia U20 bagi Uruguay setelah sebelumnya dua kali harus puas berada di posisi kedua pada tahun 1997 dan 2013, demikian catatan FIFA",positive
"Timnas Uruguay sukses menjadi juara Piala Dunia U20 seusai mengalahkan Italia dengan skor tipis 1-0 pada pa ai final di Stadion Ciudad de La Plata, Buenos Aires, Argentina, Senin dini hari",positive
"Seung-won Lee Kapten Korea Selatan Salah Satu Pemain Terbaik Piala Dunia U20, Cek Harga Pasarannya",positive
Italia 🇮🇹 lagi apes  Semua wakil mereka gagal di final ,positive
"Piala dunia U20 batal,imbas terjadinya tragedi kanjuruhan",positive
Piala dunia U20 batal digelar  disebabkan tragedi kanjuruhan,positive
"Timnas Italia Layak Disebut Juara Tanpa Mahkota di Piala Dunia U20, Kenapa Demikian?",positive
Wonderkid milik Chelsea berhasil memborong penghargaan top skor dan pemain terbaik Piala Dunia U20,positive
"Fakta Cesare Casadei Top Skor Piala Dunia U20, Hanya Jadi Penonton di Liga Champions Musim Depan",positive
Juara terbanyak Piala Dunia U20,positive
"Sepakbola Italia bener-bener apes tahun ini  Ada 3 Klub Serie A Italia, masing-masing masuk final untuk 3 kompetisi Eropa berbeda, eh, semuanya kalah  Jadi Runner-Up  Lalu Timnas U20-nya, masuk final Piala Dunia U20, kalah juga oleh Uruguay  Apes bener ",positive
Uruguay resmi keluar sebagai juara Piala Dunia U20 2023 dan menjadi yang pe ama  dalam sejarah Uruguay sendiri setelah dua kali menjadi runner-up ,positive
FIFA batalkan Rencana Indonesia Jadi Tuan Rumah Piala Dunia U20 karena Kerusuhan di Kanjuruhan #PilihanTepatCumaGanjar Senin Jaktim Bawah Ginting Let Me Ligue 1 hobi Fakta Tasyi Batam ,positive
Kerusuhan di Stadion Kanjuruhan menjadi alasan FIFA membatalkan pegelaran piala dunia u20 di Indonesia #PilihanTepatCumaGanjar Senin Jaktim Bawah Ginting Let Me Ligue 1 hobi Fakta Tasyi Batam,positive
 Wonderkid milik Chelsea berhasil memborong penghargaan top skor dan pemain terbaik Piala Dunia U20 ,positive
Kerusuhan di Kanjuruhan Memicu Pembatalan Piala Dunia U20 di Indonesia karena Faktor Keamanan yang sangat minim  #PilihanTepatCumaGanjar Senin Jaktim Bawah Ginting Let Me Ligue 1 hobi Fakta Tasyi Batam,positive
FIFA Resmi Coret Nama Indonesia sebagai Tuan Rumah Piala Dunia U20 efek tragis Kejadian di Kanjuruhan #PilihanTepatCumaGanjar Senin Jaktim Bawah Ginting Let Me Ligue 1 hobi Fakta Tasyi Batam,positive
Kerusuhan di Kanjuruhan membuat FIFA memandang lemahnya keamanan di Indonesia dan mencabut Indonesia sebagai tuan rumah Piala Dunia U20 #PilihanTepatCumaGanjar Senin Jaktim Bawah Ginting Let Me Ligue 1 hobi Fakta Tasyi Batam,positive
FIFA batalkan Rencana Indonesia Jadi Tuan Rumah Piala Dunia U20 karena Kerusuhan di Kanjuruhan #PilihanTepatCumaGanjar Senin Jaktim Bawah Ginting Let Me Ligue 1 hobi Fakta Tasyi Batam,positive
Kerusuhan di Stadion Kanjuruhan menjadi alasan FIFA membatalkan pegelaran piala dunia u20 di Indonesia #PilihanTepatCumaGanjar Senin Jaktim Bawah Ginting Let Me Ligue 1 hobi Fakta Tasyi Batam,positive
Wonderkid milik Chelsea berhasil memborong penghargaan top skor dan pemain terbaik Piala Dunia U20 ,positive
Walaupun negaranya kalah di pe andingan Final Piala Dunia U20 atas Uruguay,positive
"Israel, Buat Gagal Indonesia Jadi Tuan Rumah dan Bikin Kejutan Besar di Piala Dunia U-20",positive
Uruguay juara Piala Dunia U20 usai kalahkan Italia 1-0,positive
Wonderkid milik Chelsea berhasil memborong penghargaan top skor dan pemain terbaik Piala Dunia U20  ,positive
 Italia 🇮🇹 lagi apes  Semua wakil mereka gagal di final ,positive
Uruguay juara Piala Dunia U20 kalahkan Italia 1-0,negative
Kerusuhan di Kanjuruhan membuat FIFA memandang lemahnya keamanan di Indonesia dan mencabut Indonesia sebagai tuan rumah,positive
"FIFA Resmi Coret Nama Indonesia sebagai Tuan Rumah Piala Dunia U20 efek tragis Kejadian di Kanjuruhan  
",positive
"Kerusuhan di Kanjuruhan Memicu Pembatalan Piala Dunia U20 di Indonesia karena Faktor Keamanan yang sangat minim  
",positive
Wonderkid milik Chelsea berhasil memborong penghargaan top skor dan pemain terbaik Piala Dunia U20 ,positive
"Uruguay menjadi juara Piala Dunia U20 2023 setelah mengalahkan Italia dengan skor 1-0 pada final yang berlangsung di Stadion La Plata, Argentina, Senin (12/6/2023) dini hari WIB  Dan Israel menjadi juara ke-3 usai mengalahkan Korea Selatan dengan skor 3-1",positive
 FIFA Resmi Coret Nama Indonesia sebagai Tuan Rumah Piala Dunia U20 efek tragis Kejadian di Kanjuruhan ,positive
Kerusuhan di Kanjuruhan Memicu Pembatalan Piala Dunia U20 di Indonesia karena Faktor Keamanan yang sangat minim  ,positive
Kerusuhan di Kanjuruhan membuat FIFA memandang lemahnya keamanan di Indonesia dan mencabut Indonesia sebagai tuan rumah…,positive
Kerusuhan di Kanjuruhan Memicu Pembatalan Piala Dunia U20 di Indonesia karena Faktor Keamanan yang sangat minim,positive
FIFA Resmi Coret Nama Indonesia sebagai Tuan Rumah Piala Dunia U20 efek tragis Kejadian di Kanjuruhan,positive
Kerusuhan di Kanjuruhan membuat FIFA memandang lemahnya keamanan di Indonesia dan mencabut Indonesia sebagai tuan rumah Piala Dunia U20,positive
Walaupun negaranya kalah di pe andingan Final Piala Dunia U20 atas Uruguay,positive
 Semua wakil mereka gagal di final ,positive
Ekspresi kebahagiaan Fede Valverde saat menyaksikan adik-adik juniornya menjadi juara dunia setelah menang 1-0 melawan Italia di babak Final Piala Dunia U20,positive
Definisi kena sleding terus tidak akan menghianati hasil ya  Selamat Uruguay untuk gelar juara yang pe ama kalinya,positive
Semua wakil mereka gagal di final ,positive
Uruguay juara Piala Dunia U20 usai kalahkan Italia Sementara Israel berada di posisi tiga usai kalahkan Korsel,positive
"Selamat Uruguay juara Piala Dunia U20 2023 di Argentina, terima kasih yang setia menayangkan live gelaran bergengsi yang seharusnya berpanggung di Indonesia ini",positive
Piala Dunia U20 2023: Debut Manis Israel Tuntas dengan Medali Perunggu,negative
URUGUAY Juara Dunia Piala Dunia U20 kalahkan Italia,negative
Definisi kena sleding terus tidak akan menghianati hasil ya  Selamat Uruguay untuk gelar juara yang pe ama kalinya didapatkan di Piala Dunia U20,positive
Italia 🇮🇹 lagi apes  Semua wakil mereka gagal di final ,positive
 sempat dengar perbincangan anak2 muda di angkringan  Mereka terus mengingat ulah GP pada kejadian gagalnya host Piala Dunia U20,positive
Semua wakil mereka gagal di final,positive
"Hasil Piala Dunia U20 2023: Uruguay Juara, Israel",negative
Uruguay juara piala dunia U20 dgn mengalahkan Itali dipa ai puncak ,positive
Italia 🇮🇹 lagi apes  Semua wakil mereka gagal di final,positive
Uruguay juara Piala Dunia U20 usai kalahkan Italia,positive
 Semua wakil mereka gagal di final ,positive
"kalah juga di final piala dunia u20, nasib",positive
Buat apa mengejar hal-hal duniawi sepe i ini  Di akhirat gak bakal ditanya apakah kamu pernah dapet gelar di piala dunia u20 ,positive
selain timnya gada yg juara difinal  Kali ini timnasnya  kalah difinal kelompok umur piala dunia U20,positive
"ide & gagasan, cerdas, santun, jis, formula e, transpo asi publik, keadilan, kesetaraan, diplomasi internasional, banyak penghargaan, dll sdg GANJAR= miskin ide & gagasan,  bokep, banjir, jateng miskin, wadas, piala dunia u20 gagal, pansos, dll, jelas sekali beda kelas ",positive
Seger langsung ya melek,positive
Baru ikut sekali Piala Dunia U20 aja udah langsung Juara 3 nih Israel  Emang gak kaleng-kaleng nih tim debutan  Setelah mengalahkan satu-satunya wakil Asia (hiks) akhirnya posisi ketiga menjadi milik Israel  Selamat sekali lagi,positive
bisa aja karna balas budi nyerahin tuan rumah piala dunia U20 makanya ada mou nya,positive
Gelandang tp bisa jadi top scorer piala dunia u20 dgn 7 gol  Talenta sebagus ini sayang ,positive
Piala dunia U20 gagal,positive
"Mengenang Indonesia melawan Argentina, Saat itu Argentina diperkuat sang legenda Maradona",positive
Ambil positifnya aja lah justru malah bagus buat Indonesia kemungkinan menang bisa lebih besar,positive
Cesare Casadei Pemain Moncer Piala Dunia U20 Sempat Bawa Inter Milan Juara Kini Dikontrak Chelsea,positive
Usut punya usut tim rotasi yang dimaksud adalah pemain-pemain yang gak lolos seleksi tim piala dunia argentina u20,positive
prediksi final piala dunia u20 ,positive
Siaran Langsung Final Piala Dunia U20 2023,negative
"Kalo pak erik gagal mendatangkan messi bera i fans bola indonesia kembali kena prank setelah gagalnya piala dunia u20, parahnya info tentang messi batal keindonesia setelah tiket habis terjual",positive
"ide & gagasan, cerdas, santun, jis, formula e, transpo asi publik, keadilan, kesetaraan, diplomasi internasional, banyak penghargaan, dll sdg GANJAR= miskin ide & gagasan,  bokep, banjir, jateng miskin, wadas, piala dunia u20 gagal, pansos, dll, jelas sekali beda kelas ",positive
"Link Live Streaming Final Piala Dunia U20 Argentina: Laga Panas Antara Italia vs Uruguay, Cek Prediksi Line",positive
Link Live Streaming Laga Korea Selatan vs Israel Diperebutan Tempat Ketiga Piala Dunia U20 Argentina 2023,positive
"ide & gagasan, cerdas, santun, jis, formula e, transpo asi publik, keadilan, kesetaraan, diplomasi internasional, banyak penghargaan, dll sdg GANJAR= miskin ide & gagasan,  bokep, banjir, jateng miskin, wadas, piala dunia u20 gagal, pansos, dll, jelas sekali beda kelas ",positive
" UpdateBolabola GImana gak bagus, Rumput Kualitas Piala DUnia U20 Bos",positive
"Piala dunia U20 batal,disebabkan tragedi kanjuruhan",positive
"tinggal buat turnamen di JIS  Oh iya jgn lupa hati2 sama yg kmr memulus harapan anak2 muda, batalin piala dunia u20",positive
 UpdateBolabola Iya lah karna pada awalnya mau dipake buat piala dunia u20 tapi sayangnya batal akibat ulah orang-orang yg mau pansos di sepakbola,positive
Tragedi kanjuruhan penyebab batalnya piala dunia U20 di indonesia,positive
Faktor Keamanan menggagalkan pelaksanaan Piala Dunia U20 di Indonesia,positive
Batalnya Indonesia menjadi tuan rumah Piala Dunia U20 disebabkan oleh peristiwa Kanjuruhan dan faktor keamanan,positive
Indonesia Gagal Menjadi Tuan Rumah Piala Dunia U20 Akibat Kerusuhan Kanjuruhan ,positive
Kerusuhan Kanjuruhan menyebabkan Piala Dunia U20 di Indonesia gagal digelar,positive
FIFA Membatalkan Indonesia sebagai Tuan Rumah Piala Dunia U20 Akibat Tragedi Kanjuruhan,negative
Indonesia Gagal Menjadi Tuan Rumah Piala Dunia U20 Akibat Kerusuhan Kanjuruhan,positive
FIFA Membatalkan Indonesia sebagai Tuan Rumah Piala Dunia U20 Akibat Tragedi Kanjuruhan,negative
Batalnya Indonesia menjadi tuan rumah Piala Dunia U20 disebabkan oleh peristiwa Kanjuruhan dan faktor keamanan yang KURANG ,positive
Kerusuhan Kanjuruhan menyebabkan Piala Dunia U20 di Indonesia gagal digelar ,positive
Faktor Keamanan menggagalkan pelaksanaan Piala Dunia U20 di Indonesia,positive
"MafiaWasit yg udah ya udah, mau ngapain sih  piala dunia u20 juga udah mau selesai, dan dikit yg ngikutin pildun u20",positive
Pemain masa depan Italia dan Chelsea ini siap siap jadi top skor Piala Dunia U20 nih,positive
 ganjarpranowo Mending nonton final piala dunia U20 pak,positive
Israel dan Korea Selatan Berebut Peringkat Ketiga Piala Dunia U20 2023,positive
Prediksi Korea Selatan vs Israel di Perebutan Tempat Ketiga Piala Dunia U20 Lengkap dengan Jadwal,positive
"Prediksi dan Head to Head Italia vs Uruguay di Final Piala Dunia U20 Argentina, Cek juga Jadwal",negative
Indonesia Gagal Menjadi Tuan Rumah Piala Dunia U20 Akibat Kerusuhan Kanjuruhan  ,positive
FIFA Membatalkan Indonesia sebagai Tuan Rumah Piala Dunia U20 Akibat Tragedi Kanjuruhan,negative
Batalnya Indonesia menjadi tuan rumah Piala Dunia U20 disebabkan oleh peristiwa Kanjuruhan dan faktor keamanan yang KURANG #GanjarPilihanRakyatUntukRI,positive
Kerusuhan Kanjuruhan menyebabkan Piala Dunia U20 di Indonesia gagal digelar  #GanjarPilihanRakyatUntukRI #DubesRosanDukungPutri Man City Fakta Tasyi Minggu,positive
Faktor Keamanan menggagalkan pelaksanaan Piala Dunia U20 di Indonesia,positive
Akan ada juara baru di Piala Dunia U20  Siapa yang jadi tim terbaik dan bawa pulang trofi?,positive
Indonesia Gagal Menjadi Tuan Rumah Piala Dunia U20 Akibat Kerusuhan Kanjuruhan,positive
FIFA Membatalkan Indonesia sebagai Tuan Rumah Piala Dunia U20 Akibat Tragedi Kanjuruhan,negative
Batalnya Indonesia menjadi tuan rumah Piala Dunia U20 disebabkan oleh peristiwa Kanjuruhan dan faktor keamanan yang KURANG,positive
Kerusuhan Kanjuruhan menyebabkan Piala Dunia U20 di Indonesia gagal digelar ,positive
Faktor Keamanan menggagalkan pelaksanaan Piala Dunia U20 di Indonesia,positive
"Habis Final Liga Champions, Terbitlah Final Piala Dunia U20",positive
Indonesia Gagal Menjadi Tuan Rumah Piala Dunia U20 Akibat Kerusuhan Kanjuruhan,positive
FIFA Membatalkan Indonesia sebagai Tuan Rumah Piala Dunia U20 Akibat Tragedi Kanjuruhan,negative
Batalnya Indonesia menjadi tuan rumah Piala Dunia U20 disebabkan oleh peristiwa Kanjuruhan dan faktor keamanan yang KURANG,positive
Kerusuhan Kanjuruhan menyebabkan Piala Dunia U20 di Indonesia gagal digelar ,positive
Faktor Keamanan menggagalkan pelaksanaan Piala Dunia U20 di Indonesia,positive
Prediksi Final Piala Dunia U20,negative
